airport,bag_amount
OSL-TRD,15142
EVE-OSL,14953
OSL-EVE,14389
OSL-BGO,13656
OSL-TOS,12329
TRD-OSL,12306
BGO-OSL,12186
TOS-OSL,11830
OSL-SVG,10583
SVG-OSL,9624
OSL-BOO,9279
BOO-OSL,8877
OSL-ALF,4773
OSL-AES,4460
AES-OSL,4200
OSL-KKN,3497
KKN-OSL,3457
OSL-HAU,2642
OSL-KRS,2277
HAU-OSL,1925
MOL-OSL,1907
EVE-BGO,1597
OSL-ANX,1576
BGO-EVE,1516
OSL-MOL,1482
OSL-LYR,1374
KRS-OSL,1208
BGO-TRD,1188
TRD-BGO,1109
LGW-OSL,869
SXF-OSL,788
CPH-OSL,765
ALF-OSL,587
ALC-OSL,512
BLL-OSL,438
HEL-OSL,394
TOS-LYR,375
AGP-OSL,364
KRK-OSL,313
RIX-OSL,306
HAM-OSL,288
ARN-OSL,222
TLL-OSL,218
PRG-OSL,161
BUD-OSL,152
CDG-OSL,141
VNO-OSL,140
GDN-OSL,127
MUC-OSL,77
KEF-OSL,73
ANX-OSL,70
AMS-OSL,62
BCN-OSL,51
LPA-OSL,45
EDI-OSL,43
LYR-OSL,30
PMI-OSL,21
CHQ-OSL,20
LYR-TOS,19
NCE-OSL,6
PRN-OSL,3
OSL-VDS,2
OSL-HVG,2
OSL-SVJ,2
DBV-OSL,2
OSL-BVG,2
OSL-MJF,2
BEG-OSL,1
OSL-HFT,1
OSL-BJF,1
